score1 score2 dim train_rate task data
0.9635817307692308 0.004242635239116063 50 0.25 link_prediction cora
0.9692355500310752 0.0035945292084328785 50 0.55 link_prediction cora
0.9738028169014085 0.004832717082613247 50 0.75 link_prediction cora
0.9723214285714287 0.008656571173957699 50 0.95 link_prediction cora
0.9653708133971293 0.0037679425837320512 100 0.25 link_prediction cora
0.9689283449587824 0.003949882435611265 100 0.55 link_prediction cora
0.9740812379110251 0.004143962337645745 100 0.75 link_prediction cora
0.9764976958525345 0.010396787255924859 100 0.95 link_prediction cora
0.9652465003043214 0.004925495558413927 150 0.25 link_prediction cora
0.9638561686298823 0.005412172290446972 150 0.55 link_prediction cora
0.9751381215469614 0.004396808982067536 150 0.75 link_prediction cora
0.9828193832599119 0.005003443476476009 150 0.95 link_prediction cora
0.9640947752126368 0.003091264698228084 200 0.25 link_prediction cora
0.9677275620623806 0.0033808457606338558 200 0.55 link_prediction cora
0.971003717472119 0.004355157811843871 200 0.75 link_prediction cora
0.9687224669603525 0.00774378670980044 200 0.95 link_prediction cora
0.9636042402826854 0.004847848204300754 250 0.25 link_prediction cora
0.9661944623309724 0.003564870711053792 250 0.55 link_prediction cora
0.9733590733590735 0.004906666033644357 250 0.75 link_prediction cora
0.9641921397379913 0.005793231074856607 250 0.95 link_prediction cora
0.7514533943343038 0.0025464961247985566 50 0.25 link_prediction zhihu
0.7845157793302819 0.0027679870044276388 50 0.55 link_prediction zhihu
0.8081779489258208 0.0037942664711071777 50 0.75 link_prediction zhihu
0.8189228529839884 0.006358915060807722 50 0.95 link_prediction zhihu
0.7456832241630277 0.0028723158607969063 100 0.25 link_prediction zhihu
0.7881151009551445 0.0027126801207927806 100 0.55 link_prediction zhihu
0.7969515293161263 0.003068322719495621 100 0.75 link_prediction zhihu
0.8068203650336215 0.004958112545845889 100 0.95 link_prediction zhihu
0.738703923900119 0.0024354111159833967 150 0.25 link_prediction zhihu
0.782883642495784 0.0031624335605618344 150 0.55 link_prediction zhihu
0.8098388721047332 0.0027417091818493443 150 0.75 link_prediction zhihu
0.830269489894129 0.007066248504709801 150 0.95 link_prediction zhihu
0.7403370317069775 0.001817415456384334 200 0.25 link_prediction zhihu
0.7847233939978305 0.002619184203050139 200 0.55 link_prediction zhihu
0.7982267002518892 0.0027159960572597387 200 0.75 link_prediction zhihu
0.8094403892944039 0.0053403970484940015 200 0.95 link_prediction zhihu
0.7416786659854149 0.0017287757186804171 250 0.25 link_prediction zhihu
0.7916646547561564 0.0034902031828836257 250 0.55 link_prediction zhihu
0.8019734844651352 0.004437795513451211 250 0.75 link_prediction zhihu
0.8190175097276265 0.00807876302769892 250 0.95 link_prediction zhihu
0.7788316946211682 0.0032368647247704423 50 0.25 link_prediction email
0.7159010020786385 0.643033664134424 50 0.25 node_clustering email
0.7969283631820074 0.002621777925719828 50 0.55 link_prediction email
0.6581427024268692 0.5766815883395496 50 0.55 node_clustering email
0.8064532694282779 0.0038762938317203587 50 0.75 link_prediction email
0.6364139005721946 0.5473536887831397 50 0.75 node_clustering email
0.8155254777070065 0.006032594503030125 50 0.95 link_prediction email
0.6395681323790547 0.5527430718556298 50 0.95 node_clustering email
0.7755272727272728 0.003169983184250322 100 0.25 link_prediction email
0.6710779964328363 0.5891912108527788 100 0.25 node_clustering email
0.7963949031389206 0.004942717599144808 100 0.55 link_prediction email
0.6600291057855971 0.576491065374855 100 0.55 node_clustering email
0.8094636678200693 0.005567628884666545 100 0.75 link_prediction email
0.631773378281946 0.5419367664676181 100 0.75 node_clustering email
0.7961321514907332 0.00810622165347899 100 0.95 link_prediction email
0.6325937134461291 0.5417545490510544 100 0.95 node_clustering email
0.7784735812133072 0.0019502784212529873 150 0.25 link_prediction email
0.6657841946976608 0.5846897660360254 150 0.25 node_clustering email
0.8005611555647926 0.0026598870884268202 150 0.55 link_prediction email
0.6724345946305634 0.5924991077343076 150 0.55 node_clustering email
0.8024638180565127 0.003610186076961424 150 0.75 link_prediction email
0.6551400406779744 0.5686849610302396 150 0.75 node_clustering email
0.8110665597433842 0.0076515544133931475 150 0.95 link_prediction email
0.6386379704636802 0.5537415394907808 150 0.95 node_clustering email
0.7858415343725308 0.001994099785364163 200 0.25 link_prediction email
0.6761164683341252 0.5942499390450182 200 0.25 node_clustering email
0.7970710427918571 0.002970139518357287 200 0.55 link_prediction email
0.653439352934821 0.5684700710223537 200 0.55 node_clustering email
0.8054714384033035 0.004576996510133423 200 0.75 link_prediction email
0.6391306546329272 0.549955521253829 200 0.75 node_clustering email
0.8161341853035144 0.008871209825504675 200 0.95 link_prediction email
0.6370828193589628 0.5480669666927432 200 0.95 node_clustering email
0.7747087343512555 0.0022716000301402296 250 0.25 link_prediction email
0.685082494600982 0.6056771746167197 250 0.25 node_clustering email
0.7914732697886449 0.0023470926952681944 250 0.55 link_prediction email
0.6505994334354617 0.5616629107828526 250 0.55 node_clustering email
0.8081178903826267 0.004725182102907399 250 0.75 link_prediction email
0.6444601734447898 0.5538466384513896 250 0.75 node_clustering email
0.8125502815768302 0.0053727458912514745 250 0.95 link_prediction email
0.6605103578185454 0.5762260372573174 250 0.95 node_clustering email
